#### TEMPERATURA EM CUIABÁ (1961-2019) ####
# Fonte: BDMEP - INMET
# http://www.inmet.gov.br/portal/index.php?r=bdmep/bdmep

Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;
83361;01/01/1961;0000;1.4;30.1;;25.2;83.5;
83361;01/01/1961;1200;;;21.9;;;
83361;02/01/1961;0000;;32.4;;27.36;73.25;
83361;02/01/1961;1200;0;;23.9;;;
83361;03/01/1961;0000;;30.7;;25.58;81;
83361;03/01/1961;1200;4.1;;23.1;;;
83361;04/01/1961;0000;;30.6;;26.16;81.75;
83361;04/01/1961;1200;14.8;;23.3;;;
83361;05/01/1961;0000;;31.1;;26.7;77.75;
83361;05/01/1961;1200;1.3;;23.3;;;
83361;06/01/1961;0000;;30.3;;26.46;78.75;
83361;06/01/1961;1200;1.5;;23.9;;;
83361;07/01/1961;0000;;32.5;;27.84;72;
83361;07/01/1961;1200;0;;24.4;;;
83361;08/01/1961;0000;;31.1;;26.4;92.25;
83361;08/01/1961;1200;0;;23.2;;;
83361;09/01/1961;0000;;32.4;;25.98;86.75;
83361;09/01/1961;1200;29.7;;23.3;;;
83361;10/01/1961;0000;;32;;26.6;86.25;
83361;10/01/1961;1200;28.8;;23;;;
83361;11/01/1961;0000;;32.4;;26.12;83.25;
83361;11/01/1961;1200;4;;23.5;;;
83361;12/01/1961;0000;;31.6;;26.8;77.25;
83361;12/01/1961;1200;19.4;;22.6;;;
83361;13/01/1961;0000;;30.3;;26.58;76.5;
83361;13/01/1961;1200;1.4;;24;;;
83361;14/01/1961;0000;;30.6;;26.48;71.25;
83361;14/01/1961;1200;0.3;;23.6;;;
83361;15/01/1961;0000;;34.3;;26.84;75.25;
83361;15/01/1961;1200;0.3;;23.2;;;
83361;16/01/1961;0000;;31.6;;26.42;83;
83361;16/01/1961;1200;32;;22.6;;;
83361;17/01/1961;0000;;29.9;;26.52;82.25;
83361;17/01/1961;1200;0.4;;24.1;;;
83361;18/01/1961;0000;;31.9;;27.02;71.75;
83361;18/01/1961;1200;6;;22.9;;;
83361;19/01/1961;0000;;34.3;;27.3;67.75;
83361;19/01/1961;1200;0;;23.4;;;
83361;20/01/1961;0000;;34.7;;28.56;69;
83361;20/01/1961;1200;0;;22.7;;;
83361;21/01/1961;0000;;33.4;;28.16;74;
83361;21/01/1961;1200;0;;24.7;;;
83361;22/01/1961;0000;;30;;26.7;84;
83361;22/01/1961;1200;0;;23.6;;;
83361;23/01/1961;0000;;33.7;;26.88;80.5;
83361;23/01/1961;1200;47;;23.2;;;
83361;24/01/1961;0000;;30.9;;26.46;80.5;
83361;24/01/1961;1200;18.8;;23.7;;;
83361;25/01/1961;0000;;28.5;;25.84;91;
83361;25/01/1961;1200;4;;23.4;;;
83361;26/01/1961;0000;;27.5;;24.32;94.75;
83361;26/01/1961;1200;11.3;;22.6;;;
83361;27/01/1961;0000;;28.3;;24.02;88.25;
83361;27/01/1961;1200;15.3;;22;;;
83361;28/01/1961;0000;;27.1;;23.64;92.25;
83361;28/01/1961;1200;20.6;;22.2;;;
83361;29/01/1961;0000;;29.6;;24.8;86;
83361;29/01/1961;1200;41.3;;21.3;;;
83361;30/01/1961;0000;;33.4;;27.38;70.75;
83361;30/01/1961;1200;1.8;;23.2;;;
83361;31/01/1961;0000;;31;;26.72;77.5;
83361;31/01/1961;1200;0;;23.5;;;
83361;01/02/1961;0000;;33.4;;27.84;67;
83361;01/02/1961;1200;0;;22.4;;;
83361;02/02/1961;0000;;33.5;;27.68;76.75;
83361;02/02/1961;1200;0;;24.2;;;
83361;03/02/1961;0000;;34.2;;25.82;80.75;
83361;03/02/1961;1200;23.2;;21;;;
83361;04/02/1961;0000;;35.2;;27.58;78;
83361;04/02/1961;1200;20.4;;23.2;;;
83361;05/02/1961;0000;;35.1;;26.22;80;
83361;05/02/1961;1200;0;;22.5;;;
83361;06/02/1961;0000;;35;;27.28;68.5;
83361;06/02/1961;1200;13.4;;22.6;;;
83361;07/02/1961;0000;;33.6;;27.94;71.75;
83361;07/02/1961;1200;0.8;;23.2;;;
83361;08/02/1961;0000;;33.4;;25.62;82;
83361;08/02/1961;1200;0.6;;23;;;
83361;09/02/1961;0000;;33.9;;26.96;75.25;
83361;09/02/1961;1200;3.3;;22.6;;;
83361;10/02/1961;0000;;32.2;;27.64;79.75;
83361;10/02/1961;1200;0;;24.1;;;
83361;11/02/1961;0000;;32.3;;25.66;92.25;
83361;11/02/1961;1200;0;;22.1;;;
83361;12/02/1961;0000;;30.2;;24.58;87.25;
83361;12/02/1961;1200;45.5;;22.4;;;
83361;13/02/1961;0000;;29.2;;25.14;93.25;
83361;13/02/1961;1200;24.5;;22.2;;;
83361;14/02/1961;0000;;34.2;;27.1;73.25;
83361;14/02/1961;1200;6.4;;22.4;;;
83361;15/02/1961;0000;;30.8;;25.98;80.75;
83361;15/02/1961;1200;9.6;;22.8;;;
83361;16/02/1961;0000;;30.5;;26.16;82.25;
83361;16/02/1961;1200;0;;22.8;;;
83361;17/02/1961;0000;;32.2;;26.34;84.5;
83361;17/02/1961;1200;2.5;;22.8;;;
83361;18/02/1961;0000;;33.5;;27.38;72;
83361;18/02/1961;1200;0.3;;23.9;;;
83361;19/02/1961;0000;;32.8;;27.42;78.5;
83361;19/02/1961;1200;0.4;;23.2;;;
83361;20/02/1961;0000;;31.6;;26.52;80;
83361;20/02/1961;1200;0;;24.1;;;
83361;21/02/1961;0000;;33.2;;26.74;76.25;
83361;21/02/1961;1200;0;;23.3;;;
83361;22/02/1961;0000;;28.7;;25.66;90.5;
83361;22/02/1961;1200;3;;23.3;;;
83361;23/02/1961;0000;;31.5;;26.48;80.25;
83361;23/02/1961;1200;32.6;;23.6;;;
83361;24/02/1961;0000;;32.3;;25.9;82.75;
83361;24/02/1961;1200;6;;23.4;;;
83361;25/02/1961;0000;;32.7;;27.56;72;
83361;25/02/1961;1200;5.8;;23;;;
83361;26/02/1961;0000;;30.4;;26.32;76.5;
83361;26/02/1961;1200;0;;23.9;;;
83361;27/02/1961;0000;;32.8;;27.16;78.5;
83361;27/02/1961;1200;0;;23.1;;;
83361;28/02/1961;0000;;27.2;;24.3;88.5;
83361;28/02/1961;1200;40.8;;22.4;;;
83361;01/03/1961;0000;;31.4;;25.8;91.25;
83361;01/03/1961;1200;8.2;;22.7;;;
83361;02/03/1961;0000;;34.4;;28.48;73;
83361;02/03/1961;1200;2.4;;23.1;;;
83361;03/03/1961;0000;;34.6;;28.22;74.25;
83361;03/03/1961;1200;0;;24.4;;;
83361;04/03/1961;0000;;35.4;;29.04;70.5;
83361;04/03/1961;1200;0;;24.9;;;
83361;05/03/1961;0000;;32.9;;27.02;81.75;
83361;05/03/1961;1200;0;;25.2;;;
83361;06/03/1961;0000;;29.5;;25.4;89.5;
83361;06/03/1961;1200;3.4;;23.5;;;
83361;07/03/1961;0000;;29.6;;25.5;88.25;
83361;07/03/1961;1200;5.1;;22.8;;;
83361;08/03/1961;0000;;27;;24.88;89.5;
83361;08/03/1961;1200;4;;23.7;;;
83361;09/03/1961;0000;;29.1;;26.32;77.5;
83361;09/03/1961;1200;2.4;;23.6;;;
83361;10/03/1961;0000;;34.6;;26.38;83;
83361;10/03/1961;1200;0.2;;23.2;;;
83361;11/03/1961;0000;;35.4;;27.7;79.75;
83361;11/03/1961;1200;3.7;;23.2;;;
83361;12/03/1961;0000;;33.8;;27.68;74.25;
83361;12/03/1961;1200;3.3;;23.7;;;
83361;13/03/1961;0000;;32.2;;26.22;86.75;
83361;13/03/1961;1200;0;;23.6;;;
83361;14/03/1961;0000;;33.7;;27.72;77;
83361;14/03/1961;1200;10;;23.2;;;
83361;15/03/1961;0000;;34.4;;27.38;74;
83361;15/03/1961;1200;0;;24.8;;;
83361;16/03/1961;0000;;34.1;;28.06;71.75;
83361;16/03/1961;1200;0;;23.3;;;
83361;17/03/1961;0000;;31.6;;24.34;86.25;
83361;17/03/1961;1200;0;;20.4;;;
83361;18/03/1961;0000;;24.8;;20.64;86.75;
83361;18/03/1961;1200;19.7;;18.1;;;
83361;19/03/1961;0000;;26.1;;22.54;82.5;
83361;19/03/1961;1200;0;;19.9;;;
83361;20/03/1961;0000;;30.2;;24.72;77.5;
83361;20/03/1961;1200;0;;20.1;;;
83361;21/03/1961;0000;;33;;25.3;81.75;
83361;21/03/1961;1200;0;;20.6;;;
83361;22/03/1961;0000;;35.5;;27.06;77.5;
83361;22/03/1961;1200;0;;21.7;;;
83361;23/03/1961;0000;;36.5;;29.7;67.5;
83361;23/03/1961;1200;0.4;;24.1;;;
83361;24/03/1961;0000;;37;;30.02;64;
83361;24/03/1961;1200;0;;25;;;
83361;25/03/1961;0000;;36.6;;29.62;62.75;
83361;25/03/1961;1200;0;;25.1;;;
83361;26/03/1961;0000;;34.8;;26.98;80.25;
83361;26/03/1961;1200;0;;23.6;;;
83361;27/03/1961;0000;;33.4;;25.7;82.25;
83361;27/03/1961;1200;0;;22.6;;;
83361;28/03/1961;0000;;34.6;;26.68;77.75;
83361;28/03/1961;1200;1.2;;22.8;;;
83361;29/03/1961;0000;;35.4;;27.36;71.75;
83361;29/03/1961;1200;0;;22.3;;;
83361;30/03/1961;0000;;34.8;;27.46;73.5;
83361;30/03/1961;1200;1.1;;23.6;;;
83361;31/03/1961;0000;;33.5;;27.78;72.75;
83361;31/03/1961;1200;0;;23.3;;;
83361;01/04/1961;0000;;34.2;;28.1;67.5;
83361;01/04/1961;1200;0;;23.9;;;
83361;02/04/1961;0000;;28.8;;24.98;86.5;
83361;02/04/1961;1200;0;;22.8;;;
83361;03/04/1961;0000;;32.8;;27.34;68.25;
83361;03/04/1961;1200;0.4;;22.4;;;
83361;04/04/1961;0000;;32.9;;28.18;65.75;
83361;04/04/1961;1200;0;;23.5;;;
83361;05/04/1961;0000;;34.6;;27.78;69.25;
83361;05/04/1961;1200;0;;23.8;;;
83361;06/04/1961;0000;;31.1;;25.24;86;
83361;06/04/1961;1200;2.4;;22.4;;;
83361;07/04/1961;0000;;34.5;;26.84;70;
83361;07/04/1961;1200;0;;21.1;;;
83361;08/04/1961;0000;;36;;27.5;74.5;
83361;08/04/1961;1200;0;;23.1;;;
83361;09/04/1961;0000;;35.2;;26.34;87.5;
83361;09/04/1961;1200;0;;22.4;;;
83361;10/04/1961;0000;;35.8;;28.16;75.5;
83361;10/04/1961;1200;0.6;;22.5;;;
83361;11/04/1961;0000;;35.3;;28.06;70.25;
83361;11/04/1961;1200;0;;24.8;;;
83361;12/04/1961;0000;;34.9;;27.92;70;
83361;12/04/1961;1200;0;;22.9;;;
83361;13/04/1961;0000;;35.6;;27.8;71;
83361;13/04/1961;1200;0;;23.4;;;
83361;14/04/1961;0000;;36.1;;28.16;69.25;
83361;14/04/1961;1200;0;;22.9;;;
83361;15/04/1961;0000;;33.6;;26.58;79;
83361;15/04/1961;1200;0;;23.7;;;
83361;16/04/1961;0000;;33.1;;26.34;83.25;
83361;16/04/1961;1200;0;;23.3;;;
83361;17/04/1961;0000;;35.6;;27.4;79.25;
83361;17/04/1961;1200;1.8;;23.7;;;
83361;18/04/1961;0000;;30.7;;26.04;86.25;
83361;18/04/1961;1200;8.6;;24.3;;;
83361;19/04/1961;0000;;31.5;;26;80;
83361;19/04/1961;1200;0.2;;22.3;;;
83361;20/04/1961;0000;;30.1;;24.96;88.75;
83361;20/04/1961;1200;0;;23.1;;;
83361;21/04/1961;0000;;28.4;;24.4;92.75;
83361;21/04/1961;1200;0;;21.7;;;
83361;22/04/1961;0000;;32;;26.58;81;
83361;22/04/1961;1200;13.6;;22.7;;;
83361;23/04/1961;0000;;32.2;;26.66;77.75;
83361;23/04/1961;1200;0;;22.6;;;
83361;24/04/1961;0000;;30.8;;24.78;84.5;
83361;24/04/1961;1200;9.6;;21.8;;;
83361;25/04/1961;0000;;32.4;;26.12;80.75;
83361;25/04/1961;1200;0;;22.1;;;
83361;26/04/1961;0000;;30.7;;25.46;84.5;
83361;26/04/1961;1200;6.6;;22;;;
83361;27/04/1961;0000;;30.5;;25.28;75.75;
83361;27/04/1961;1200;0;;22.2;;;
83361;28/04/1961;0000;;33.9;;26.82;75;
83361;28/04/1961;1200;0;;22.5;;;
83361;29/04/1961;0000;;32.5;;26.5;79.25;
83361;29/04/1961;1200;0.7;;22.6;;;
83361;30/04/1961;0000;;34.4;;27.06;72;
83361;30/04/1961;1200;0;;22.8;;;
83361;01/05/1961;0000;;35.1;;28.16;65.75;
83361;01/05/1961;1200;0;;22.7;;;
83361;02/05/1961;0000;;33.3;;26.76;83;
83361;02/05/1961;1200;0;;23;;;
83361;03/05/1961;0000;;28.8;;24.06;87;
83361;03/05/1961;1200;0;;22.4;;;
83361;04/05/1961;0000;;30.6;;25.1;80;
83361;04/05/1961;1200;0;;21.3;;;
83361;05/05/1961;0000;;33.4;;27.24;69.5;
83361;05/05/1961;1200;0;;21.7;;;
83361;06/05/1961;0000;;33.9;;28.12;69.75;
83361;06/05/1961;1200;0;;22.7;;;
83361;07/05/1961;0000;;33;;24.7;89.75;
83361;07/05/1961;1200;0;;21;;;
83361;08/05/1961;0000;;28.2;;23.66;86.25;
83361;08/05/1961;1200;9.3;;20.9;;;
83361;09/05/1961;0000;;31.4;;24.92;80.75;
83361;09/05/1961;1200;0;;21;;;
83361;10/05/1961;0000;;31.3;;25.9;77;
83361;10/05/1961;1200;0;;22.1;;;
83361;11/05/1961;0000;;32.7;;26.22;76.5;
83361;11/05/1961;1200;0;;21.7;;;
83361;12/05/1961;0000;;34.1;;26.36;71.5;
83361;12/05/1961;1200;0;;21.5;;;
83361;13/05/1961;0000;;33.3;;27.46;78.5;
83361;13/05/1961;1200;0;;23.3;;;
83361;14/05/1961;0000;;33.6;;27.36;69.5;
83361;14/05/1961;1200;0;;23.2;;;
83361;15/05/1961;0000;;33.6;;26.84;67.5;
83361;15/05/1961;1200;0;;21.9;;;
83361;16/05/1961;0000;;33.3;;26.18;68.25;
83361;16/05/1961;1200;0;;20.8;;;
83361;17/05/1961;0000;;34.2;;27.3;63.5;
83361;17/05/1961;1200;0;;21.5;;;
83361;18/05/1961;0000;;29.4;;25.48;78.75;
83361;18/05/1961;1200;0;;23.4;;;
83361;19/05/1961;0000;;25.3;;22.56;83.25;
83361;19/05/1961;1200;5.6;;21.2;;;
83361;20/05/1961;0000;;24.9;;20.56;82;
83361;20/05/1961;1200;0;;17.8;;;
83361;21/05/1961;0000;;29.6;;23.06;75.75;
83361;21/05/1961;1200;0;;19;;;
83361;22/05/1961;0000;;33.1;;25.18;76;
83361;22/05/1961;1200;0;;19;;;
83361;23/05/1961;0000;;34.5;;26.16;70.25;
83361;23/05/1961;1200;0;;21.4;;;
83361;24/05/1961;0000;;33.2;;26.3;71.25;
83361;24/05/1961;1200;0;;21.8;;;
83361;25/05/1961;0000;;32.8;;25.4;62.75;
83361;25/05/1961;1200;0.1;;19.9;;;
83361;26/05/1961;0000;;33.1;;24.58;62;
83361;26/05/1961;1200;0;;17.9;;;
83361;27/05/1961;0000;;33.6;;24.34;58.25;
83361;27/05/1961;1200;0;;18.3;;;
83361;28/05/1961;0000;;32.5;;23.48;62.25;
83361;28/05/1961;1200;0;;16.1;;;
83361;29/05/1961;0000;;32.6;;23.98;63.25;
83361;29/05/1961;1200;0;;16.5;;;
83361;30/05/1961;0000;;33.4;;25.92;69.75;
83361;30/05/1961;1200;0;;19.2;;;
83361;31/05/1961;0000;;34;;27.26;65;
83361;31/05/1961;1200;0;;21.9;;;
83361;01/06/1961;0000;;34;;25.18;71.5;
83361;01/06/1961;1200;0.6;;21.2;;;
